uid,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,cd,council,ct2010,ct2020,nta2010,nta2020,facgroup,facsubgrp,factype,capacity,captype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea,geometry
354432b0a9752c6190bb734951e04e8e,THE JUDITH S. KAYE SCHOOL,321,EAST 96 STREET,321 EAST 96 STREET,NEW YORK,MANHATTAN,1,10128,40.78389205,-73.94513336,999444.3229,224874.6407,1083927,1016680001,111,8,15602,15602,MN33,MN1101,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,75,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",4,23,Local,POINT(999444.3228654861 224874.6406507492)
35c46a2766a09d1853bd1ab6c4da1f16,GROVER CLEVELAND HIGH SCHOOL,2127,HIMROD STREET,2127 HIMROD STREET,RIDGEWOOD,QUEENS,4,11385,40.71157904,-73.90922933,1009414.592,198536.9699,4080227,4033630001,405,30,59500,59501,QN20,QN0502,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,2124,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",24,104,Local,POINT(1009414.5916285515 198536.96987581253)
35e93fd6969ca6debfe4c02a542cbcff,J.H.S. 259 WILLIAM MCKINLEY,7305,FT HAMILTON PARKWAY,7305 FT HAMILTON PARKWAY,BROOKLYN,BROOKLYN,3,11228,40.62621311,-74.01477834,980147.7139,167423.0446,3148031,3059230001,310,38,20600,20600,BK30,BK1002,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,1605,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",20,68,Local,POINT(980147.7138433456 167423.0446228981)
361dd2202b174baf72a154ee8929c52f,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,31-51,21 STREET,31-51 21 STREET,ASTORIA,QUEENS,4,11106,40.76608314,-73.93009945,1003612.869,218389.2248,4006382,4005530001,401,22,7700,7700,QN70,QN0102,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,794,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",30,114,Local,POINT(1003612.8688139915 218389.22477054596)
3654fdd3642756e4c5604c05283b2cb6,MOTION PICTURE TECHNICAL HIGH SCHOOL,47-10,BARNETT AVENUE,47-10 BARNETT AVENUE,SUNNYSIDE,QUEENS,4,11104,40.74979991,-73.91595647,1007536.249,212460.159,4620970,4001250010,402,26,16900,16900,QN31,QN0202,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,0,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",30,108,Local,POINT(1007536.2487888336 212460.15903520584)
36cd9d3bada0ecc36cbe1f9689a1f512,M.S. 839,713,CATON AVENUE,713 CATON AVENUE,BROOKLYN,BROOKLYN,3,11218,40.64796975,-73.97315891,991698.3268,175350.373,3398290,3053210064,307,40,50400,50401,BK40,BK0701,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,250,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",15,72,Local,POINT(991698.3268280029 175350.3729748726)
381ec91a471b1e715c0e571ea2a2a126,YESHIVA PREP HIGH SCHOOL,14,AVENUE J,14 AVENUE J,BROOKLYN,BROOKLYN,3,11230,40.62333439,-73.97625762,990840.8767,166374.8006,3130385,3054830006,312,44,46202,46202,BK46,BK1204,SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,0,,Non-public,Yeshiva Prep High School,Non-public,City,NYC Department of Education,NYCDOE,nysed_activeinstitutions,"EDUCATION, CHILD WELFARE, AND YOUTH",21,66,Local,POINT(990840.8767490387 166374.80061006546)
384f907018ff667b36731ef191cad8c8,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,1363,FULTON AVENUE,1363 FULTON AVENUE,BRONX,BRONX,2,10456,40.8339494,-73.90272973,1011166.983,243122.499,2009617,2029250056,203,16,14701,14701,BX01,BX0302,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,422,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",9,42,Local,POINT(1011166.9830532074 243122.49895906448)
38612b4d6cd21f1972f9e91b2f758e1e,I.S. 347 SCHOOL OF HUMANITIES,35,STARR STREET,35 STARR STREET,BROOKLYN,BROOKLYN,3,11221,40.70095712,-73.92767009,1004305.408,194662.3271,3072497,3031850001,304,34,42300,42300,BK78,BK0401,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,578,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",32,83,Local,POINT(1004305.4076814651 194662.3271226883)
387014709b0b7610bcc8a6c17a6489e2,CONCORD HIGH SCHOOL,109,RHINE AVENUE,109 RHINE AVENUE,STATEN ISLAND,STATEN ISLAND,5,10304,40.61080026,-74.08678506,960153.9735,161819.3285,5043479,5028850001,501,49,4000,4004,SI08,SI0103,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,175,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",31,120,Local,POINT(960153.97352314 161819.32851457596)
3873a1f6e58437ae6bbed8ce51fe98c2,UNITED CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE LV,156-10,BAISLEY BOULEVARD,156-10 BAISLEY BOULEVARD,JAMAICA,QUEENS,4,11434,40.67474554,-73.78324219,1044375.492,185178.7908,4265978,4122610001,412,28,29400,29400,QN02,QN1204,SCHOOLS (K-12),CHARTER K-12 SCHOOLS,HIGH SCHOOL - CHARTER,648,seats,Non-public,United Charter High School for Advanced Math and Science lV,Non-public,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",27,113,Local,POINT(1044375.4918165207 185178.79079532623)
